effect,estimate,ci_lo,ci_hi
None,17.5016239496821,16.7845378685201,18.1402605654788
Cleanup,17.8451997713951,17.0855764475093,18.4990976054848
Threat,17.8203873933025,17.0539359579624,18.4841600837011
Impact,16.0498290575948,15.3768496159435,16.6770282625441
