effect,estimate,ci_lo,ci_hi
Cleanup,0.280790365721751,0.229837549802605,0.315018427449994
Threat,0.260853966540857,0.215875327053878,0.306152808602196
Impact,-1.11398764070982,-1.18466896272831,-0.998513387158091
