effect,estimate,ci_lo,ci_hi
None,13.6491595284333,13.2075994442326,13.9416271063322
Cleanup,13.929949894155,13.4448635035039,14.2098865170504
Threat,13.9100134949741,13.4536164779657,14.1925436678647
Impact,12.5351718877234,12.0788429652196,12.7854121260834
