iter,model,coef,estimate
21,poisson,effect::Cleanup,0.00431714205931162
21,poisson,effect::Threat,0.00338198957182297
21,poisson,effect::Impact,0.00307633718491112
22,logit,effect::Cleanup,-0.0445901148835497
22,logit,effect::Threat,-0.0101282862531739
22,logit,effect::Impact,-0.0526517507133587
22,poisson,effect::Cleanup,0.00369298375484765
22,poisson,effect::Threat,0.00458483517673596
22,poisson,effect::Impact,0.00598554420142938
23,logit,effect::Cleanup,-0.0151492633232373
23,logit,effect::Threat,-0.0508813475250515
23,logit,effect::Impact,-0.0679556053599921
23,poisson,effect::Cleanup,0.00480280546443373
23,poisson,effect::Threat,0.00271217865299839
23,poisson,effect::Impact,0.00806904077544168
24,logit,effect::Cleanup,0.0177281345562986
24,logit,effect::Threat,-0.0322938706646874
24,logit,effect::Impact,0.000246092237397002
24,poisson,effect::Cleanup,0.00320196694069483
24,poisson,effect::Threat,0.00599393354688399
24,poisson,effect::Impact,0.00523520097461053
25,logit,effect::Cleanup,-0.0167356426116235
25,logit,effect::Threat,-0.0163638705941087
25,logit,effect::Impact,0.0200990279279736
25,poisson,effect::Cleanup,0.00329217397247371
25,poisson,effect::Threat,0.00519932673464555
25,poisson,effect::Impact,0.00545189465895257
26,logit,effect::Cleanup,0.0172521626496564
26,logit,effect::Threat,-0.0279995119869141
26,logit,effect::Impact,0.0352228352798594
26,poisson,effect::Cleanup,0.00376635301760644
26,poisson,effect::Threat,0.00410966982788617
26,poisson,effect::Impact,0.00013344638023993
27,logit,effect::Cleanup,0.0129212735314597
27,logit,effect::Threat,-0.0355655027742004
27,logit,effect::Impact,-0.00159223942814246
27,poisson,effect::Cleanup,0.00543406365672547
27,poisson,effect::Threat,0.00411659430583796
27,poisson,effect::Impact,0.00689689006781068
28,logit,effect::Cleanup,0.00734335300247798
28,logit,effect::Threat,-0.0668545168541303
28,logit,effect::Impact,0.112893194439502
28,poisson,effect::Cleanup,0.00532503214227749
28,poisson,effect::Threat,0.00494481397771462
28,poisson,effect::Impact,0.00537803626889489
29,logit,effect::Cleanup,-0.0832837585468393
29,logit,effect::Threat,-0.0115938804505951
29,logit,effect::Impact,0.0396045574170453
29,poisson,effect::Cleanup,0.00325873296532857
29,poisson,effect::Threat,0.00169179485493864
29,poisson,effect::Impact,0.00647823918598221
30,logit,effect::Cleanup,-0.0537642817309983
30,logit,effect::Threat,-0.0120948518970063
30,logit,effect::Impact,-0.0483376209030806
30,poisson,effect::Cleanup,0.00372023565035963
30,poisson,effect::Threat,0.00522366739450111
30,poisson,effect::Impact,-0.00202143078631091
31,logit,effect::Cleanup,-0.0308401810189267
31,logit,effect::Threat,-0.0251093456493755
31,logit,effect::Impact,0.0219069304778334
31,poisson,effect::Cleanup,0.00349403695801002
31,poisson,effect::Threat,0.00500080837011264
31,poisson,effect::Impact,-0.00257249329386541
32,logit,effect::Cleanup,0.0225196128133982
32,logit,effect::Threat,-0.00774647242293234
32,logit,effect::Impact,-0.0398748857174851
32,poisson,effect::Cleanup,0.0030722690975619
32,poisson,effect::Threat,0.00283471838133717
32,poisson,effect::Impact,0.00372190081480175
