effect,estimate,ci_lo,ci_hi
Cleanup,0.343575821713042,0.281116413559499,0.409785684156461
Threat,0.318763443620465,0.265647867496836,0.384919399162024
Impact,-1.45179489208731,-1.58336748017404,-1.28724915635855
